chunk 0: 287 posts, oldest 2026-08-15
chunk 1: 290 posts, oldest 2026-07-27
chunk 2: 245 posts, oldest 2026-07-11
chunk 3: 274 posts, oldest 2026-06-23
chunk 4: 384 posts, oldest 2026-06-01
chunk 5: 522 posts, oldest 2026-04-30
chunk 6: 516 posts, oldest 2026-03-28
chunk 7: 417 posts, oldest 2026-03-05
chunk 8: 209 posts, oldest 2026-02-21
chunk 9: 164 posts, oldest 2026-02-10
chunk 10: 161 posts, oldest 2026-01-31
chunk 11: 180 posts, oldest 2026-01-20
chunk 12: 196 posts, oldest 2026-01-08
chunk 13: 213 posts, oldest 2025-12-28
chunk 14: 229 posts, oldest 2025-12-15
chunk 15: 251 posts, oldest 2025-12-03
chunk 16: 240 posts, oldest 2025-11-20
chunk 17: 224 posts, oldest 2025-11-10
chunk 18: 249 posts, oldest 2025-10-27
chunk 19: 360 posts, oldest 2025-10-07
chunk 20: 465 posts, oldest 2025-09-16
chunk 21: 593 posts, oldest 2025-08-17
chunk 22: 767 posts, oldest 2025-07-13
chunk 23: 789 posts, oldest 2025-06-07
chunk 24: 262 posts, oldest 2025-05-27
chunk 25: 241 posts, oldest 2025-05-15
chunk 26: 108 posts, oldest 2025-05-09
chunk 27: 103 posts, oldest 2025-05-04
chunk 28: 137 posts, oldest 2025-04-29
chunk 29: 137 posts, oldest 2025-04-23
chunk 30: 120 posts, oldest 2025-04-18
chunk 31: 193 posts, oldest 2025-04-09
chunk 32: 217 posts, oldest 2025-03-30
chunk 33: 272 posts, oldest 2025-03-19
chunk 34: 303 posts, oldest 2025-03-08
chunk 35: 449 posts, oldest 2025-02-17
chunk 36: 546 posts, oldest 2025-01-26
chunk 37: 683 posts, oldest 2024-12-26
  HTTP 422 -> sleep 5s (b'{"data":null,"error":"Timeout. Maybe slow down a bit"}')
chunk 38: 928 posts, oldest 2024-11-22
chunk 39: 1000 posts, oldest 2024-10-15
chunk 40: 1000 posts, oldest 2024-09-06
chunk 41: 1000 posts, oldest 2024-07-30
chunk 42: 1000 posts, oldest 2024-06-21
chunk 43: 997 posts, oldest 2024-05-10
chunk 44: 997 posts, oldest 2024-04-03
chunk 45: 993 posts, oldest 2024-02-29
chunk 46: 1000 posts, oldest 2024-01-25
chunk 47: 1000 posts, oldest 2023-12-20
chunk 48: 928 posts, oldest 2023-11-18
chunk 49: 746 posts, oldest 2023-10-21
chunk 50: 558 posts, oldest 2023-09-26
chunk 51: 404 posts, oldest 2023-09-09
chunk 52: 376 posts, oldest 2023-08-27
chunk 53: 394 posts, oldest 2023-08-11
chunk 54: 427 posts, oldest 2023-07-26
chunk 55: 493 posts, oldest 2023-07-06
chunk 56: 484 posts, oldest 2023-06-12
chunk 57: 451 posts, oldest 2023-05-26
chunk 58: 480 posts, oldest 2023-05-09
chunk 59: 471 posts, oldest 2023-04-21
chunk 60: 496 posts, oldest 2023-04-01
chunk 61: 593 posts, oldest 2023-03-16
chunk 62: 691 posts, oldest 2023-02-24
chunk 63: 802 posts, oldest 2023-01-27
chunk 64: 790 posts, oldest 2022-12-31
